"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"ANGPTL6",63,133,136,103,38,68,44,30,122,52,121,50,160,14,6,3
"ANK1",25,115,85,46,363,814,483,233,140,52,132,16,115,97,71,26
"ANK2",81,152,185,140,2,19,1,3,257,84,222,97,197,0,0,3
"ANK3",374,2225,3010,950,1457,3932,4233,4483,395,143,621,98,964,29,30,21
"ANKAR",898,1160,1990,770,1171,1179,1011,814,651,197,765,239,575,33,57,18
"ANKDD1A",285,58,392,218,192,49,146,158,49,69,174,109,38,5,3,4
"ANKDD1B",33,48,37,21,41,23,30,17,29,6,19,9,25,2,3,0
"ANKEF1",265,374,1506,265,492,741,648,241,424,107,250,166,227,23,50,13
"ANKFN1",41,22,145,19,2,0,0,0,296,5,49,5,50,0,0,0
"ANKFY1",1835,2392,6457,2285,2237,3753,2692,2570,4093,1113,4039,1114,3895,189,281,106
"ANKH",1088,1351,3666,1092,3388,3284,4048,1967,1626,505,1726,411,1420,86,108,61
"ANKHD1",401,593,820,455,473,549,486,869,402,56,350,78,520,12,5,15
"ANKHD1-DT",85,135,147,102,49,71,36,22,89,32,88,39,44,5,5,1
"ANKHD1-EIF4EBP3",107,156,219,88,174,110,158,300,190,40,141,30,302,3,4,4
"ANKIB1",5498,5901,14313,5092,6547,7000,6249,3742,6799,1973,7596,2051,4902,310,391,191
"ANKLE1",120,202,504,199,16,99,57,22,175,51,156,57,146,9,19,1
"ANKLE2",5111,7632,14825,7272,4335,7413,5023,3977,4821,1499,4985,1465,3592,257,308,143
"ANKMY1",409,727,1067,515,1071,1371,890,929,991,256,1018,233,985,84,55,35
"ANKMY2",1416,1444,4335,1324,861,1184,841,490,1135,347,1288,421,781,42,70,29
"ANKRA2",1441,1745,3212,1092,2312,2549,1862,1427,1311,423,1456,443,933,68,78,34
"ANKRD1",79,267,322,180,0,0,0,0,33,31,28,42,18,0,0,0
"ANKRD10",4775,6456,15610,6223,3259,5909,4702,3462,6665,1638,6370,2339,5092,210,323,125
"ANKRD10-IT1",270,555,845,466,227,521,310,414,510,97,451,154,370,6,10,3
"ANKRD11",1439,5350,3415,5271,4531,8408,5804,6287,11556,2537,8603,2172,10089,543,425,255
"ANKRD12",5901,7339,10016,5696,16431,14178,16011,10830,10412,2663,12637,3165,8903,405,593,301
"ANKRD13A",4249,7458,10745,5362,6055,7360,6484,3303,5001,1618,6272,1854,3203,475,730,219
"ANKRD13B",68,148,211,223,44,112,30,39,171,55,157,43,120,5,2,5
"ANKRD13C",2743,3415,7254,2410,3949,4332,3700,2311,3068,978,4097,1019,2087,170,212,91
"ANKRD13D",554,1057,2066,975,2167,3335,2075,1913,2529,624,2260,687,1798,261,130,97
"ANKRD16",213,388,553,284,184,301,243,148,249,76,309,104,219,10,18,4
"ANKRD17",5593,8550,19170,8413,10123,11415,10937,6856,11720,3497,12092,3356,10115,603,795,383
"ANKRD17-DT",112,93,206,74,112,86,94,77,97,17,49,12,97,7,3,2
"ANKRD18A",23,14,18,14,7,30,4,18,47,8,18,7,22,0,0,0
"ANKRD18CP",21,34,87,23,37,40,29,9,62,11,60,6,48,1,5,0
"ANKRD20A11P",3,352,14,11,1,227,9,7,17,18,184,22,23,8,0,2
"ANKRD20A4P",6,13,3,34,1,9,0,10,30,8,36,5,61,1,0,1
"ANKRD20A5P",116,305,711,294,99,176,197,198,407,89,582,150,582,7,4,13
"ANKRD22",56,62,137,43,30,25,23,7,92,19,64,24,84,1,5,2
"ANKRD23",17,41,51,24,29,72,48,66,103,35,93,24,125,4,2,0
"ANKRD24",4,37,16,25,30,42,33,32,54,16,61,11,26,1,1,1
"ANKRD26",1499,2780,5018,2259,2254,3617,2413,2136,3671,1083,4659,1086,3005,90,88,63
"ANKRD26P4",3,12,13,13,14,19,16,30,32,5,21,4,51,0,1,0
"ANKRD27",1366,1649,4904,1558,1292,2051,1531,1159,3159,988,3267,962,2029,133,182,51
"ANKRD28",5776,8627,18904,8984,4218,7147,4463,4530,4424,1398,5340,1813,3957,243,225,181
"ANKRD30BL",43,45,49,35,32,19,10,25,28,63,44,39,62,0,1,3
"ANKRD31",89,164,162,63,200,263,157,131,303,58,406,98,234,9,5,6
"ANKRD33B",635,819,1108,619,45,215,129,53,717,124,555,210,639,21,76,21
"ANKRD34A",22,27,61,40,15,26,11,15,39,20,47,10,25,0,1,1
"ANKRD36",2871,3768,7541,3035,3257,3517,2986,4459,5457,1039,4669,1096,5409,102,71,101
"ANKRD36B",1211,1843,4199,1852,1602,2047,1694,2004,1493,281,1478,582,1618,55,46,28
"ANKRD36BP2",5641,7365,9781,3222,4267,4909,3592,2225,2496,1398,4632,2139,2270,248,75,67
"ANKRD36C",3266,5359,9497,4475,2611,4124,3196,4873,5031,1015,5570,1527,5431,129,65,93
"ANKRD37",136,176,358,149,196,203,176,117,164,51,170,52,58,9,8,10
"ANKRD39",122,207,250,212,199,277,190,159,180,42,212,63,165,14,6,8
"ANKRD40",2548,3434,7742,3688,2657,2800,2931,1809,2496,836,2780,999,1922,166,161,109
"ANKRD42",193,167,511,164,197,267,310,205,284,60,215,54,192,24,41,9
"ANKRD42-DT",406,535,1035,581,905,538,744,438,162,49,262,58,116,23,31,20
"ANKRD44",11570,15529,30553,9539,15734,19243,17358,17671,22874,7604,26054,5360,21467,852,1185,606
"ANKRD44-AS1",580,606,503,159,744,527,193,120,456,126,184,146,112,16,3,1
"ANKRD44-IT1",201,321,433,297,268,282,312,754,555,125,523,89,1060,9,6,16
"ANKRD46",1955,1786,6007,1888,1497,1500,1195,772,1191,465,1519,483,866,55,60,22
"ANKRD49",2691,4024,6443,3131,4539,5431,4387,2781,3054,843,4227,1154,1852,186,203,97
"ANKRD49P1",216,270,401,162,131,157,147,269,107,18,75,21,92,5,6,12
"ANKRD50",2146,2334,6293,2515,371,740,407,324,2224,497,2117,660,1705,36,45,11
"ANKRD52",1019,1755,2755,1656,1082,1897,1404,1750,1965,458,1609,390,1767,105,126,73
"ANKRD54",655,787,2119,776,450,765,548,418,842,237,885,271,566,37,34,17
"ANKRD55",332,970,663,447,2270,3400,1360,1496,25,6,82,17,57,23,2,1
"ANKRD6",70,212,159,105,198,384,211,181,385,139,274,95,265,33,24,8
"ANKRD65",18,29,43,20,1,0,1,0,43,25,87,12,109,0,0,0
"ANKRD9",20,57,68,61,16,75,31,24,46,4,28,14,26,6,8,9
"ANKS1A",405,644,1701,665,527,739,609,608,1090,274,876,266,939,50,67,20
"ANKS1B",4,5,22,6,7,4,10,8,69,7,56,3,48,0,0,0
"ANKS3",324,465,881,469,440,696,397,414,608,145,687,202,530,28,19,21
"ANKS6",385,1018,858,681,762,1670,808,696,1187,252,1307,304,936,45,38,13
"ANKZF1",1508,1966,3438,1510,2188,3393,1945,1674,4124,939,4021,912,3072,80,126,54
"ANLN",1908,2118,5165,3051,129,918,181,181,629,304,1281,506,530,34,18,10
"ANO10",395,632,1146,532,380,522,348,316,410,113,519,152,360,29,33,9
"ANO5",47,37,195,19,0,19,7,2,35,2,57,29,39,0,2,2
"ANO6",4462,6490,17310,5802,4604,6101,5304,3000,4601,1464,4877,1764,3146,440,465,344
"ANO8",332,688,880,640,436,783,395,356,1080,216,907,206,776,36,23,13
"ANO9",409,488,879,382,806,1569,785,1040,1812,304,1699,280,1622,38,41,18
"ANOS1",51,59,62,11,0,11,0,0,56,18,49,15,69,1,0,0
"ANOS2P",0,171,0,0,0,131,0,0,153,34,139,38,179,4,0,1
"ANP32A",10861,14964,30035,14599,7825,10455,8491,4335,9280,3214,10638,4092,5975,425,521,172
"ANP32B",1542,2126,3286,2630,1682,2504,1535,1294,2538,948,3853,1343,3041,119,144,64
"ANP32E",8163,14440,22525,15844,7628,11475,9426,4191,5966,1915,7820,3098,3645,277,379,178
"ANPEP",531,1035,806,999,44,121,71,43,139,32,116,57,161,136,28,26
"ANTKMT",251,310,658,230,136,128,128,73,1067,231,867,274,444,73,71,18
"ANTXR1",200,168,883,266,0,2,0,1,161,121,152,78,201,0,2,0
"ANTXR2",1877,2452,6087,2211,3300,3761,3475,2172,1438,584,1850,562,1483,134,338,71
"ANTXRLP1",514,752,1311,612,533,611,419,546,742,159,595,210,986,20,11,6
"ANXA1",5664,6396,17229,7191,23077,33431,20767,26267,1849,806,2653,1380,1432,1675,1073,541
"ANXA11",4084,8766,14007,9730,10993,12877,11744,7233,9733,2329,8281,2239,6935,892,1011,383
"ANXA2",2867,3423,5098,2280,2686,5253,4422,1333,1959,621,1638,632,1657,752,1087,268
"ANXA2R",1530,1834,3464,1110,2505,2026,1844,887,1989,604,2182,510,1135,93,111,61
"ANXA3",42,183,61,29,7,77,7,9,40,12,76,8,24,5,2,1
"ANXA4",824,1042,2446,1237,169,412,378,159,347,99,318,133,258,91,342,13
"ANXA5",2384,4937,14617,2604,2551,5073,5845,1565,1933,346,2176,900,707,554,878,206
"ANXA6",17956,34542,34693,23894,28358,43434,20175,16361,25347,7137,23949,7578,11640,2845,2340,1050
"ANXA7",5317,5786,11830,4780,5475,6702,5416,3108,3289,1002,3909,1225,2083,330,439,151
"ANXA9",6,4,8,5,1,3,1,2,226,1,15,3,17,0,0,0
"AOAH",1716,2647,2508,1694,2177,2310,1210,1878,5060,1956,6470,1533,6514,825,553,294
"AOAH-IT1",16,52,36,26,52,38,26,74,187,36,138,24,298,7,4,7
"AOC1",53,109,60,54,0,0,0,0,43,5,20,7,31,0,0,0
"AOC2",36,34,115,53,68,47,54,49,44,19,27,6,44,3,4,2
"AOPEP",412,557,1070,449,383,482,445,553,576,136,559,118,561,22,18,9
"AOX1",164,93,527,147,1,10,4,5,42,13,70,53,60,0,0,0
