"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"ALDH16A1",1188,1978,2513,1548,1057,2213,1195,932,1193,261,942,266,515,145,191,48
"ALDH18A1",6615,7919,15884,8330,3069,4434,3269,1903,3352,1141,4179,1644,2138,221,261,111
"ALDH1A1",58,136,194,62,58,451,52,51,120,50,222,87,162,51,97,16
"ALDH1A2",17,42,43,20,4,7,2,27,84,20,72,76,70,1,1,0
"ALDH1A3",11,12,15,29,2,0,0,0,44,9,80,9,44,0,0,0
"ALDH1B1",379,545,654,320,213,502,203,115,324,57,425,91,155,32,26,11
"ALDH2",1018,1354,2855,1573,83,176,217,102,453,137,415,195,325,181,178,29
"ALDH3A2",1039,1495,2153,1209,1010,1869,1250,910,1532,584,2176,424,1261,91,119,45
"ALDH3B1",7,55,22,10,15,27,28,8,28,4,6,0,3,88,101,19
"ALDH3B2",74,171,273,171,0,1,0,0,71,32,97,47,75,0,0,0
"ALDH4A1",147,182,414,224,36,108,42,28,143,29,143,50,104,5,10,4
"ALDH5A1",3864,5758,13456,4898,1173,2090,1457,755,4331,1335,4101,1414,3212,90,128,25
"ALDH6A1",3268,3750,8792,4028,2612,2498,2072,961,1364,507,1761,586,900,91,80,61
"ALDH7A1",578,969,1964,1349,89,117,72,38,282,172,647,262,320,2,3,0
"ALDH8A1",57,36,40,22,38,20,41,31,71,13,63,19,90,1,2,1
"ALDH9A1",2805,3748,7652,2945,2152,3564,2290,1288,2440,831,3086,800,1739,150,221,82
"ALDOA",13534,19940,32406,22300,10658,12902,9972,5571,10585,3542,11060,4290,6590,1561,1635,626
"ALDOC",783,1163,1834,663,1604,1326,1274,470,895,219,1409,364,540,82,79,33
"ALG1",685,1006,1832,789,652,879,673,420,728,182,758,262,468,68,85,31
"ALG10",1753,1673,5076,1996,1202,1164,951,799,1225,331,1262,424,780,25,44,25
"ALG10B",3329,3462,11153,3885,1670,2262,1672,1534,2112,689,2333,854,1562,42,44,25
"ALG11",839,1494,3164,1423,1587,1488,1443,1298,995,271,1030,293,707,57,67,36
"ALG12",706,1172,1989,950,1066,1440,861,739,960,270,898,259,763,69,75,45
"ALG13",2124,2458,5171,2038,3170,3072,2635,2975,2630,572,2560,725,3186,107,133,88
"ALG14",441,556,1134,484,172,313,199,103,219,77,285,115,181,14,17,7
"ALG1L2",19,22,67,22,10,4,14,7,43,4,41,7,39,1,3,0
"ALG2",1986,2641,5063,2828,1896,2137,1645,1017,1105,357,1390,463,759,104,111,70
"ALG3",445,828,1526,770,737,1078,674,450,562,158,535,212,302,57,43,24
"ALG5",1808,2128,3784,1689,1491,1745,1235,808,1017,282,1306,404,650,58,75,36
"ALG6",1831,2209,4897,1680,1572,2051,1251,1026,1713,467,2168,621,1328,56,53,28
"ALG8",1660,1822,3899,1669,1300,1765,1153,652,1221,401,1530,448,863,59,72,25
"ALG9",408,469,1446,526,278,322,308,280,372,123,445,147,361,17,11,12
"ALKBH1",496,558,1399,509,655,616,509,388,472,194,665,157,387,27,23,13
"ALKBH2",430,416,1003,385,368,533,230,180,474,184,514,193,254,25,17,14
"ALKBH3",1478,1793,3828,1520,1476,1528,1002,709,883,313,1182,475,558,69,56,25
"ALKBH4",446,636,1428,588,368,447,359,198,461,149,536,147,295,41,49,14
"ALKBH5",4742,6752,12036,7600,6476,6270,6267,3241,5033,1710,5226,1665,3247,493,607,258
"ALKBH6",55,97,111,92,97,166,106,83,160,16,136,33,111,5,3,0
"ALKBH7",1496,1608,3171,1471,1351,1183,1037,722,662,255,776,239,343,74,108,29
"ALKBH8",972,1499,3460,1045,1313,2143,1411,906,1568,439,1689,515,1096,62,87,23
"ALMS1",6182,8524,15077,8466,8593,7788,5866,6470,7893,2167,8880,2442,6941,307,324,225
"ALMS1-IT1",82,129,135,137,162,161,85,202,129,20,115,39,121,5,1,4
"ALOX12-AS1",316,358,484,281,512,424,300,241,272,70,249,56,250,10,14,6
"ALOX12P2",57,85,183,55,21,55,19,14,104,9,97,38,60,1,2,2
"ALOX15",67,107,93,108,5,9,10,0,18,5,17,3,12,0,0,0
"ALOX15P1",63,84,96,60,168,173,147,112,126,30,124,22,74,7,9,2
"ALOX5",247,264,383,114,113,89,327,48,100,19,117,52,59,233,497,52
"ALOX5AP",1267,1882,3038,1096,1118,1163,1339,490,1044,440,878,530,907,97,150,53
"ALPK1",1008,1227,3128,1128,618,1172,674,969,1263,453,1694,358,1377,40,49,10
"ALPK2",251,136,239,203,43,121,32,40,173,31,179,51,98,3,2,1
"ALPK3",63,214,268,319,6,40,14,18,148,34,119,54,133,2,0,0
"ALS2",964,1193,3249,1086,972,1527,984,841,1666,486,1776,497,1270,80,70,38
"ALS2CL",280,532,583,454,1344,3636,936,2188,228,51,247,63,137,36,4,9
"ALYREF",4693,6749,10383,6656,2321,3447,2427,1491,2109,740,2524,999,1139,269,209,136
"AMACR",40,54,185,56,47,50,46,25,49,20,60,21,40,3,3,3
"AMBRA1",2865,4997,8922,4161,3648,4182,3005,3233,3349,946,3189,954,2616,263,199,141
"AMD1",22335,28775,46609,23889,13666,15339,13035,8124,8849,2674,12167,4137,5230,737,702,387
"AMDHD1",24,45,108,23,19,24,36,13,97,12,43,13,35,3,8,1
"AMDHD2",319,506,855,393,1068,897,731,679,741,169,711,128,446,55,61,29
"AMER1",577,977,1994,1050,833,1107,884,683,627,175,950,265,577,49,83,36
"AMER2",0,1,17,0,0,3,6,0,27,6,206,20,270,0,0,0
"AMFR",5997,7116,14746,6272,5800,5685,5811,3360,3280,1054,3378,1204,2238,359,883,176
"AMH",21,55,106,51,26,30,13,23,43,15,15,7,56,1,2,0
"AMIGO1",440,741,1269,446,1853,1731,1992,794,1519,457,2142,303,1199,118,135,48
"AMIGO2",328,249,795,138,1000,848,1290,372,877,303,1421,214,678,45,72,37
"AMMECR1",1386,1702,3761,1426,2285,2282,2084,1369,1447,378,1716,448,1010,69,80,39
"AMMECR1L",1362,2239,4641,2164,1557,2463,1565,1218,1819,507,2052,596,1258,118,116,66
"AMN",32,50,115,45,36,27,28,15,119,33,181,24,102,5,6,2
"AMN1",859,1093,2135,748,1082,1069,930,587,1283,338,1474,412,1027,21,44,16
"AMOT",446,618,1825,922,251,271,249,128,500,135,495,129,443,35,37,15
"AMOTL1",1207,1558,5014,2285,81,235,73,67,1772,508,1585,644,1896,11,8,5
"AMOTL2",27,39,124,76,3,8,0,2,77,18,69,15,44,0,0,0
"AMPD2",1422,2220,5086,2397,1635,2985,1484,1700,2436,628,2753,756,1568,316,297,91
